date,location,description,death
9/29/1957,"Mayak, Kyshtym, Soviet Union","The Kyshtym disaster was a radiation contamination accident (after a chemical explosion that occurred within a storage tank) at Mayak, a nuclear fuel reprocessing plant in the Soviet Union.",200
10/10/1957,"Sellafield, Cumberland, United Kingdom","Windscale fire at the British atomic bomb project (in a plutonium-production reactor) damaged the core and released an estimated 740 terabecquerels of iodine-131 into the environment. A rudimentary smoke filter constructed over the main outlet chimney successfully prevented a far worse radiation leak.",0
1/3/1961,"Idaho Falls, Idaho, United States","Explosion at SL-1 prototype at the National Reactor Testing Station. All 3 operators were killed when a control rod was removed too far.",3
10/5/1966,"Frenchtown Charter Township, Michigan, United States","Meltdown of some fuel elements in the Fermi 1 Reactor at the Enrico Fermi Nuclear Generating Station. Little radiation leakage into the environment.",0
1/21/1969,"Lucens reactor, Vaud, Switzerland","On January 21, 1969, it suffered a loss-of-coolant accident, leading to meltdown of one fuel element and radioactive contamination of the cavern, which was then sealed.",0
12/7/1975,"Greifswald, East Germany","Electrical error in Greifswald Nuclear Power Plant caused a fire in the main trough that destroyed control lines and five main coolant pumps",0
1/5/1976,"Jaslovské Bohunice, Czechoslovakia","Malfunction during fuel replacement. Fuel rod ejected from reactor into the reactor hall by coolant (CO2).",2
3/28/1979,"Three Mile Island, Pennsylvania, United States","Loss of coolant and partial core meltdown due to operator errors and technical flaws. There was a small release of radioactive gases. See also Three Mile Island accident health effects.",0
9/15/1984,"Athens, Alabama, United States","Safety violations, operator error and design problems forced a six-year outage at Browns Ferry Unit 2.",0
3/9/1985,"Athens, Alabama, United States","Instrumentation systems malfunction during startup, which led to suspension of operations at all three Browns Ferry Units",0
4/11/1986,"Chernobyl, Chernobyl Raion (now Vyshhorod Raion), Kiev Oblast, Ukrainian SSR, Soviet Union","A flawed reactor design and inadequate safety procedures led to a power surge that damaged the fuel rods of reactor no. 4 of the Chernobyl power plant. This caused an explosion and meltdown, necessitating the evacuation of 300,000 people and dispersing radioactive material across Europe (see Effects of the Chernobyl disaster). Around 5% (5200 PBq) of the core was released into the atmosphere and downwind. ",28
5/4/1986,"Hamm-Uentrop, West Germany","Experimental THTR-300 reactor released small amounts of fission products (0.1 GBq Co-60, Cs-137, Pa-233) to surrounding area",0
12/9/1986,"Surry, Virginia, United States","Feedwater pipe break at Surry Nuclear Power Plant killed 4 workers",4
3/31/1987,"Delta, Pennsylvania, United States","Peach Bottom units 2 and 3 shutdown due to cooling malfunctions and unexplained equipment problems",0
12/19/1987,"Lycoming, New York, United States","Malfunctions forced Niagara Mohawk Power Corporation to shut down Nine Mile Point Unit 1",0
17/3/1989,"Lusby, Maryland, United States","Inspections at Calvert Cliff Units 1 and 2 revealed cracks at pressurized heater sleeves, forcing extended shutdowns",0
10/19/1989,"Vandellòs, Spain","A fire damaged the cooling system in unit 1 of the Vandellòs Nuclear Power Plant, getting the core close to meltdown. The cooling system was restored before the meltdown but the unit had to be shut down due to the elevated cost of the repair.",0
3/1/1992,"Sosnovy Bor, Leningrad Oblast, Russia","An accident at the Sosnovy Bor nuclear plant leaked radioactive iodine into the air through a ruptured fuel channel.",0
2/20/1996,"Waterford, Connecticut, United States","Leaking valve forced shutdown of Millstone Nuclear Power Plant Units 1 and 2, multiple equipment failures found",0
9/2/1996,"Crystal River, Florida, United States","Balance-of-plant equipment malfunction forced shutdown and extensive repairs at Crystal River Unit 3",0
9/30/1999,"Ibaraki Prefecture, Japan","Tokaimura nuclear accident killed two workers, and exposed one more to radiation levels above permissible limits.",2
2/16/2002,"Oak Harbor, Ohio, United States","Severe corrosion of reactor vessel head forced 24-month outage of Davis-Besse reactor",0
4/10/2003,"Paks, Hungary","Collapse of fuel rods at Paks Nuclear Power Plant unit 2 during its corrosion cleaning led to leakage of radioactive gases. It remained inactive for 18 months.",0
8/9/2004,"Fukui Prefecture, Japan","Steam explosion at Mihama Nuclear Power Plant killed 4 workers and injured 7 more",4
7/25/2006,"Forsmark, Sweden","An electrical fault at Forsmark Nuclear Power Plant caused multiple failures in safety systems critical for reactor cooling",0
3/11/2011,"Fukushima, Japan","The Fukushima nuclear disaster was triggered by a tsunami that flooded and damaged the 3 active reactors at the Fukushima Daiichi nuclear power plant, drowning two workers. Loss of backup electrical power led to overheating, meltdowns, and evacuations.[40] One man died suddenly while carrying equipment during the clean-up.[41] The plant's reactors Nos. 4, 5 and 6 were inactive at the time.",4
9/12/2011,"Marcoule, France","One person was killed and four injured, one seriously, in a blast at the Marcoule Nuclear Site. The explosion took place in a furnace used to melt metallic waste.",1
